public_id,title,summary,crop,country,region,primary_problem,evidence_level,application_method,nano_gro_application,dosage,application_frequency,farm_size_value,farm_size_unit,baseline_conditions,treatment_notes,results_summary,yield_increase_percent,quality_improvement_percent,disease_reduction_percent,roi_value,roi_notes,confidence_score,verification_status,language,featured,seo_title,seo_description,evidence_folder_name,source_folder,evidence_reference,has_photos,has_video,has_pdf,has_testimonial,technical_validation,lab_report,testimonial
NG-SAMPLE-001,Cacao Panama low production recovery,Commercial cacao block with documented low production response.,Cacao,Panama,Bocas del Toro,Low production,A,Foliar,Nano-Gro foliar program during vegetative and flowering stages,1 ml/L,3 applications,120,ha,Baseline yield recorded before treatment,Applications completed before flowering peak,Production increased against recorded baseline,27,12,,5.3,ROI calculated from reported price and treatment cost,88,agronomist_review,en,true,Cacao Panama Nano-Gro production case,Documented Nano-Gro cacao case in Panama with production increase.,cacao-panama-001,cacao-panama-001,folder:cacao-panama-001,true,true,true,true,true,lab-cacao-001.pdf,Farmer reported stronger flowering and pod set.
NG-SAMPLE-002,Banana Colombia water stress recovery,Banana farm under seasonal water stress with documented recovery.,Banana,Colombia,Magdalena,Water stress,A,Foliar,Nano-Gro foliar support program,0.8 ml/L,4 applications,85,ha,Water stress observed before program,Applied during stress recovery window,Improved plant recovery and bunch uniformity,18,9,,3.8,ROI calculated from additional boxes sold,84,agronomist_review,en,true,Banana Colombia Nano-Gro water stress case,Documented Nano-Gro banana case in Colombia under water stress.,banana-colombia-002,banana-colombia-002,folder:banana-colombia-002,true,true,true,true,true,,Manager reported more uniform recovery.
NG-SAMPLE-003,Coffee Ecuador flowering improvement,Coffee lot with poor flowering and documented field response.,Coffee,Ecuador,Loja,Poor flowering,A,Foliar,Nano-Gro foliar application before flowering,1 ml/L,2 applications,42,ha,Flowering was uneven across the lot,Applied before main flowering flush,Flowering uniformity improved and harvest volume increased,22,15,,4.6,ROI calculated from reported parchment coffee price,86,lab_supported,en,true,Coffee Ecuador Nano-Gro flowering case,Documented Nano-Gro coffee case in Ecuador with flowering improvement.,coffee-ecuador-003,coffee-ecuador-003,folder:coffee-ecuador-003,true,true,true,true,true,lab-coffee-003.pdf,Technical supervisor confirmed flowering response.
NG-SAMPLE-004,Rice Peru root development observation,Rice field with weak rooting and qualitative improvement evidence.,Rice,Peru,Piura,Weak rooting,B,Foliar,Nano-Gro support application,,2 applications,30,ha,Weak rooting observed after establishment,Protocol details incomplete,Visual improvement documented in root development,,,10,,ROI pending price and baseline confirmation,,internal_review,en,false,Rice Peru Nano-Gro root development case,Qualitative Nano-Gro rice case in Peru with root observations.,rice-peru-004,rice-peru-004,folder:rice-peru-004,true,false,false,false,false,,
NG-SAMPLE-005,Tomato Mexico small fruit quality case,Tomato production with small fruit and partial quality documentation.,Tomato,Mexico,Sinaloa,Small fruit,B,Foliar,Nano-Gro foliar application,0.6 ml/L,,12,ha,Small fruit size reported by grower,Frequency pending confirmation,Fruit size and uniformity improved in field observations,,18,,2.9,ROI estimated pending final packout confirmation,,internal_review,en,false,Tomato Mexico Nano-Gro fruit quality case,Partially documented Nano-Gro tomato quality case in Mexico.,tomato-mexico-005,tomato-mexico-005,folder:tomato-mexico-005,true,false,false,true,false,,Grower reported better fruit uniformity.
NG-SAMPLE-006,Melon Panama transplant recovery,Melon crop after transplant stress with partial field notes.,Melon,Panama,Los Santos,Post-transplant recovery,B,Foliar,Nano-Gro transplant recovery support,1 ml/L,1 application,18,ha,Transplant stress reported,Application timing confirmed by field technician,Plants recovered faster than untreated border area,,,,,ROI not calculated due to incomplete baseline data,,internal_review,en,false,Melon Panama Nano-Gro transplant recovery case,Partial Nano-Gro melon transplant recovery case in Panama.,melon-panama-006,melon-panama-006,folder:melon-panama-006,true,false,false,false,false,,
NG-SAMPLE-007,Cacao Colombia disease pressure case,Cacao farm with disease pressure and partial observations.,Cacao,Colombia,Santander,Disease pressure,C,Foliar,Nano-Gro foliar support,,,55,ha,Disease pressure reported in rainy season,Protocol pending technical confirmation,Visual improvement documented; disease reduction not measured,,,,,ROI not calculated due to incomplete baseline data,,unverified,en,false,Cacao Colombia Nano-Gro disease pressure case,Qualitative Nano-Gro cacao disease pressure field observation.,cacao-colombia-007,cacao-colombia-007,folder:cacao-colombia-007,true,false,false,false,false,,
NG-SAMPLE-008,Banana Ecuador incomplete protocol case,Banana case with result notes but missing dosage and frequency.,Banana,Ecuador,Guayas,Low quality,C,Foliar,Nano-Gro application protocol pending technical confirmation,,,64,ha,Quality concern reported before treatment,,Quality improvement reported by field team without final packout data,,11,,,"ROI not calculated due to incomplete baseline data",,unverified,en,false,Banana Ecuador Nano-Gro quality case,Incomplete protocol Nano-Gro banana quality case.,banana-ecuador-008,banana-ecuador-008,folder:banana-ecuador-008,true,false,false,false,false,,
NG-SAMPLE-009,Rice Colombia incomplete application details,Rice case with missing application method details but useful observation.,Rice,Colombia,Tolima,Climate stress,C,,Application protocol pending technical confirmation,,,40,ha,Climate stress after dry period,,Visual improvement documented after treatment window,,,,,ROI not calculated due to incomplete baseline data,,unverified,en,false,Rice Colombia Nano-Gro climate stress case,Incomplete protocol Nano-Gro rice climate stress observation.,rice-colombia-009,rice-colombia-009,folder:rice-colombia-009,true,false,false,false,false,,
NG-SAMPLE-010,Corn invalid missing country,Invalid row intended to fail validation.,Corn,,Jalisco,,B,Foliar,Nano-Gro foliar application,1 ml/L,2 applications,25,ha,,,,not-a-number,,,,,,unverified,en,false,Corn invalid test row,Invalid row with missing country and invalid yield.,corn-invalid-010,corn-invalid-010,folder:corn-invalid-010,false,false,false,false,false,,
